	Dataset	dataset_name	chip_id	replicate_group_id	organism	sample_type	generic_sample_type	final_cell_type	parental_cell_type	sex	labelling	name	description	number of samples	sample types	platform	project	species	Detection threshold	Platform_Category	Platform_Colour	Platform_Symbol	display_metadata	tier1	tier2	tier3	facs_profile	celltype	sample_description	tissue_organism_part	Hover
1674120023_B;1000	1000.0	Watkins	1674120023_B	63130-660	Homo sapiens	granulocyte	CL:0000094		granulocyte	male		Watkins	Hematopoiesis is a carefully controlled process that is regulated by complex networks of transcription factors that are, in part, controlled by signals resulting from ligand binding to cell-surface receptors. To further understand hematopoiesis, we have compared gene expression profiles of human erythroblasts, megakaryocytes, B cells, cytotoxic and helper T cells, natural killer cells, granulocytes, and monocytes using whole genome microarrays. A bioinformatics analysis of these data was performed focusing on transcription factors, immunoglobulin superfamily members, and lineage-specific transcripts. We observed that the numbers of lineage-specific genes varies by 2 orders of magnitude, ranging from 5 for cytotoxic T cells to 878 for granulocytes. In addition, we have identified novel coexpression patterns for key transcription factors involved in hematopoiesis (eg, GATA3-GFI1 and GATA2-KLF1). This study represents the most comprehensive analysis of gene expression in hematopoietic cells to date and has identified genes that play key roles in lineage commitment and cell function. The data, which are freely accessible, will be invaluable for future studies on hematopoiesis and the role of specific genes and will also aid the understanding of the recent genome-wide association studies. [Abstract from original publiction; Blood. 2009 May 7;113(19):e1-9. Epub 2009 Feb 19. Watkins_2009_19228925]	50.0	MK, erythroblast, B lymphocyte, Th, Tc, granulocyte, monocyte, NK	Microarray (Illumina HumanWG-6 V2)	leukomics	Homo sapiens	5.0	Illumina V2	rgb(0,0,0)	circle	CD166b+ Neutrophil:Eosinophil 80:20 Granulocyte  neonatal	in vivo	myeloid	granulocyte	CD66b+	granulocyte		blood	1000<br>Watkins<br>CD166b+ Neutrophil:Eosinophil 80:20 Granulocyte  neonatal<br>CD66b+<br>Microarray (Illumina HumanWG-6 V2)
1674120023_F;1000	1000.0	Watkins	1674120023_F	61230-145	Homo sapiens	monocyte	CL:0000576		monocyte	male		Watkins	Hematopoiesis is a carefully controlled process that is regulated by complex networks of transcription factors that are, in part, controlled by signals resulting from ligand binding to cell-surface receptors. To further understand hematopoiesis, we have compared gene expression profiles of human erythroblasts, megakaryocytes, B cells, cytotoxic and helper T cells, natural killer cells, granulocytes, and monocytes using whole genome microarrays. A bioinformatics analysis of these data was performed focusing on transcription factors, immunoglobulin superfamily members, and lineage-specific transcripts. We observed that the numbers of lineage-specific genes varies by 2 orders of magnitude, ranging from 5 for cytotoxic T cells to 878 for granulocytes. In addition, we have identified novel coexpression patterns for key transcription factors involved in hematopoiesis (eg, GATA3-GFI1 and GATA2-KLF1). This study represents the most comprehensive analysis of gene expression in hematopoietic cells to date and has identified genes that play key roles in lineage commitment and cell function. The data, which are freely accessible, will be invaluable for future studies on hematopoiesis and the role of specific genes and will also aid the understanding of the recent genome-wide association studies. [Abstract from original publiction; Blood. 2009 May 7;113(19):e1-9. Epub 2009 Feb 19. Watkins_2009_19228925]	50.0	MK, erythroblast, B lymphocyte, Th, Tc, granulocyte, monocyte, NK	Microarray (Illumina HumanWG-6 V2)	leukomics	Homo sapiens	5.0	Illumina V2	rgb(0,0,0)	circle	CD14+ Monocyte  neonatal	in vivo	myeloid	monocyte	CD14+	monocyte		blood	1000<br>Watkins<br>CD14+ Monocyte  neonatal<br>CD14+<br>Microarray (Illumina HumanWG-6 V2)
1674120053_B;1000	1000.0	Watkins	1674120053_B	61271-144	Homo sapiens	monocyte	CL:0000576		monocyte	male		Watkins	Hematopoiesis is a carefully controlled process that is regulated by complex networks of transcription factors that are, in part, controlled by signals resulting from ligand binding to cell-surface receptors. To further understand hematopoiesis, we have compared gene expression profiles of human erythroblasts, megakaryocytes, B cells, cytotoxic and helper T cells, natural killer cells, granulocytes, and monocytes using whole genome microarrays. A bioinformatics analysis of these data was performed focusing on transcription factors, immunoglobulin superfamily members, and lineage-specific transcripts. We observed that the numbers of lineage-specific genes varies by 2 orders of magnitude, ranging from 5 for cytotoxic T cells to 878 for granulocytes. In addition, we have identified novel coexpression patterns for key transcription factors involved in hematopoiesis (eg, GATA3-GFI1 and GATA2-KLF1). This study represents the most comprehensive analysis of gene expression in hematopoietic cells to date and has identified genes that play key roles in lineage commitment and cell function. The data, which are freely accessible, will be invaluable for future studies on hematopoiesis and the role of specific genes and will also aid the understanding of the recent genome-wide association studies. [Abstract from original publiction; Blood. 2009 May 7;113(19):e1-9. Epub 2009 Feb 19. Watkins_2009_19228925]	50.0	MK, erythroblast, B lymphocyte, Th, Tc, granulocyte, monocyte, NK	Microarray (Illumina HumanWG-6 V2)	leukomics	Homo sapiens	5.0	Illumina V2	rgb(0,0,0)	circle	CD14+ Monocyte  neonatal	in vivo	myeloid	monocyte	CD14+	monocyte		blood	1000<br>Watkins<br>CD14+ Monocyte  neonatal<br>CD14+<br>Microarray (Illumina HumanWG-6 V2)
1674120053_C;1000	1000.0	Watkins	1674120053_C	63171-661	Homo sapiens	granulocyte	CL:0000094		granulocyte	male		Watkins	Hematopoiesis is a carefully controlled process that is regulated by complex networks of transcription factors that are, in part, controlled by signals resulting from ligand binding to cell-surface receptors. To further understand hematopoiesis, we have compared gene expression profiles of human erythroblasts, megakaryocytes, B cells, cytotoxic and helper T cells, natural killer cells, granulocytes, and monocytes using whole genome microarrays. A bioinformatics analysis of these data was performed focusing on transcription factors, immunoglobulin superfamily members, and lineage-specific transcripts. We observed that the numbers of lineage-specific genes varies by 2 orders of magnitude, ranging from 5 for cytotoxic T cells to 878 for granulocytes. In addition, we have identified novel coexpression patterns for key transcription factors involved in hematopoiesis (eg, GATA3-GFI1 and GATA2-KLF1). This study represents the most comprehensive analysis of gene expression in hematopoietic cells to date and has identified genes that play key roles in lineage commitment and cell function. The data, which are freely accessible, will be invaluable for future studies on hematopoiesis and the role of specific genes and will also aid the understanding of the recent genome-wide association studies. [Abstract from original publiction; Blood. 2009 May 7;113(19):e1-9. Epub 2009 Feb 19. Watkins_2009_19228925]	50.0	MK, erythroblast, B lymphocyte, Th, Tc, granulocyte, monocyte, NK	Microarray (Illumina HumanWG-6 V2)	leukomics	Homo sapiens	5.0	Illumina V2	rgb(0,0,0)	circle	CD166b+ Neutrophil:Eosinophil 85:15 Granulocyte  neonatal	in vivo	myeloid	granulocyte	CD66b+	granulocyte		blood	1000<br>Watkins<br>CD166b+ Neutrophil:Eosinophil 85:15 Granulocyte  neonatal<br>CD66b+<br>Microarray (Illumina HumanWG-6 V2)
1674120078_A;1000	1000.0	Watkins	1674120078_A	63112-661	Homo sapiens	granulocyte	CL:0000094		granulocyte	male		Watkins	Hematopoiesis is a carefully controlled process that is regulated by complex networks of transcription factors that are, in part, controlled by signals resulting from ligand binding to cell-surface receptors. To further understand hematopoiesis, we have compared gene expression profiles of human erythroblasts, megakaryocytes, B cells, cytotoxic and helper T cells, natural killer cells, granulocytes, and monocytes using whole genome microarrays. A bioinformatics analysis of these data was performed focusing on transcription factors, immunoglobulin superfamily members, and lineage-specific transcripts. We observed that the numbers of lineage-specific genes varies by 2 orders of magnitude, ranging from 5 for cytotoxic T cells to 878 for granulocytes. In addition, we have identified novel coexpression patterns for key transcription factors involved in hematopoiesis (eg, GATA3-GFI1 and GATA2-KLF1). This study represents the most comprehensive analysis of gene expression in hematopoietic cells to date and has identified genes that play key roles in lineage commitment and cell function. The data, which are freely accessible, will be invaluable for future studies on hematopoiesis and the role of specific genes and will also aid the understanding of the recent genome-wide association studies. [Abstract from original publiction; Blood. 2009 May 7;113(19):e1-9. Epub 2009 Feb 19. Watkins_2009_19228925]	50.0	MK, erythroblast, B lymphocyte, Th, Tc, granulocyte, monocyte, NK	Microarray (Illumina HumanWG-6 V2)	leukomics	Homo sapiens	5.0	Illumina V2	rgb(0,0,0)	circle	CD166b+ Neutrophil:Eosinophil 85:15 Granulocyte  neonatal	in vivo	myeloid	granulocyte	CD66b+	granulocyte		blood	1000<br>Watkins<br>CD166b+ Neutrophil:Eosinophil 85:15 Granulocyte  neonatal<br>CD66b+<br>Microarray (Illumina HumanWG-6 V2)
1674120078_F;1000	1000.0	Watkins	1674120078_F	61212-142	Homo sapiens	monocyte	CL:0000576		monocyte	male		Watkins	Hematopoiesis is a carefully controlled process that is regulated by complex networks of transcription factors that are, in part, controlled by signals resulting from ligand binding to cell-surface receptors. To further understand hematopoiesis, we have compared gene expression profiles of human erythroblasts, megakaryocytes, B cells, cytotoxic and helper T cells, natural killer cells, granulocytes, and monocytes using whole genome microarrays. A bioinformatics analysis of these data was performed focusing on transcription factors, immunoglobulin superfamily members, and lineage-specific transcripts. We observed that the numbers of lineage-specific genes varies by 2 orders of magnitude, ranging from 5 for cytotoxic T cells to 878 for granulocytes. In addition, we have identified novel coexpression patterns for key transcription factors involved in hematopoiesis (eg, GATA3-GFI1 and GATA2-KLF1). This study represents the most comprehensive analysis of gene expression in hematopoietic cells to date and has identified genes that play key roles in lineage commitment and cell function. The data, which are freely accessible, will be invaluable for future studies on hematopoiesis and the role of specific genes and will also aid the understanding of the recent genome-wide association studies. [Abstract from original publiction; Blood. 2009 May 7;113(19):e1-9. Epub 2009 Feb 19. Watkins_2009_19228925]	50.0	MK, erythroblast, B lymphocyte, Th, Tc, granulocyte, monocyte, NK	Microarray (Illumina HumanWG-6 V2)	leukomics	Homo sapiens	5.0	Illumina V2	rgb(0,0,0)	circle	CD14+ Monocyte  neonatal	in vivo	myeloid	monocyte	CD14+	monocyte		blood	1000<br>Watkins<br>CD14+ Monocyte  neonatal<br>CD14+<br>Microarray (Illumina HumanWG-6 V2)
1674120079_D;1000	1000.0	Watkins	1674120079_D	61262-141	Homo sapiens	monocyte	CL:0000576		monocyte	male		Watkins	Hematopoiesis is a carefully controlled process that is regulated by complex networks of transcription factors that are, in part, controlled by signals resulting from ligand binding to cell-surface receptors. To further understand hematopoiesis, we have compared gene expression profiles of human erythroblasts, megakaryocytes, B cells, cytotoxic and helper T cells, natural killer cells, granulocytes, and monocytes using whole genome microarrays. A bioinformatics analysis of these data was performed focusing on transcription factors, immunoglobulin superfamily members, and lineage-specific transcripts. We observed that the numbers of lineage-specific genes varies by 2 orders of magnitude, ranging from 5 for cytotoxic T cells to 878 for granulocytes. In addition, we have identified novel coexpression patterns for key transcription factors involved in hematopoiesis (eg, GATA3-GFI1 and GATA2-KLF1). This study represents the most comprehensive analysis of gene expression in hematopoietic cells to date and has identified genes that play key roles in lineage commitment and cell function. The data, which are freely accessible, will be invaluable for future studies on hematopoiesis and the role of specific genes and will also aid the understanding of the recent genome-wide association studies. [Abstract from original publiction; Blood. 2009 May 7;113(19):e1-9. Epub 2009 Feb 19. Watkins_2009_19228925]	50.0	MK, erythroblast, B lymphocyte, Th, Tc, granulocyte, monocyte, NK	Microarray (Illumina HumanWG-6 V2)	leukomics	Homo sapiens	5.0	Illumina V2	rgb(0,0,0)	circle	CD14+ Monocyte  neonatal	in vivo	myeloid	monocyte	CD14+	monocyte		blood	1000<br>Watkins<br>CD14+ Monocyte  neonatal<br>CD14+<br>Microarray (Illumina HumanWG-6 V2)
1674120079_E;1000	1000.0	Watkins	1674120079_E	63162-660	Homo sapiens	granulocyte	CL:0000094		granulocyte	male		Watkins	Hematopoiesis is a carefully controlled process that is regulated by complex networks of transcription factors that are, in part, controlled by signals resulting from ligand binding to cell-surface receptors. To further understand hematopoiesis, we have compared gene expression profiles of human erythroblasts, megakaryocytes, B cells, cytotoxic and helper T cells, natural killer cells, granulocytes, and monocytes using whole genome microarrays. A bioinformatics analysis of these data was performed focusing on transcription factors, immunoglobulin superfamily members, and lineage-specific transcripts. We observed that the numbers of lineage-specific genes varies by 2 orders of magnitude, ranging from 5 for cytotoxic T cells to 878 for granulocytes. In addition, we have identified novel coexpression patterns for key transcription factors involved in hematopoiesis (eg, GATA3-GFI1 and GATA2-KLF1). This study represents the most comprehensive analysis of gene expression in hematopoietic cells to date and has identified genes that play key roles in lineage commitment and cell function. The data, which are freely accessible, will be invaluable for future studies on hematopoiesis and the role of specific genes and will also aid the understanding of the recent genome-wide association studies. [Abstract from original publiction; Blood. 2009 May 7;113(19):e1-9. Epub 2009 Feb 19. Watkins_2009_19228925]	50.0	MK, erythroblast, B lymphocyte, Th, Tc, granulocyte, monocyte, NK	Microarray (Illumina HumanWG-6 V2)	leukomics	Homo sapiens	5.0	Illumina V2	rgb(0,0,0)	circle	CD166b+ Neutrophil:Eosinophil 70:30 Granulocyte  neonatal	in vivo	myeloid	granulocyte	CD66b+	granulocyte		blood	1000<br>Watkins<br>CD166b+ Neutrophil:Eosinophil 70:30 Granulocyte  neonatal<br>CD66b+<br>Microarray (Illumina HumanWG-6 V2)
1674120084_B;1000	1000.0	Watkins	1674120084_B	63169-661	Homo sapiens	granulocyte	CL:0000094		granulocyte	female		Watkins	Hematopoiesis is a carefully controlled process that is regulated by complex networks of transcription factors that are, in part, controlled by signals resulting from ligand binding to cell-surface receptors. To further understand hematopoiesis, we have compared gene expression profiles of human erythroblasts, megakaryocytes, B cells, cytotoxic and helper T cells, natural killer cells, granulocytes, and monocytes using whole genome microarrays. A bioinformatics analysis of these data was performed focusing on transcription factors, immunoglobulin superfamily members, and lineage-specific transcripts. We observed that the numbers of lineage-specific genes varies by 2 orders of magnitude, ranging from 5 for cytotoxic T cells to 878 for granulocytes. In addition, we have identified novel coexpression patterns for key transcription factors involved in hematopoiesis (eg, GATA3-GFI1 and GATA2-KLF1). This study represents the most comprehensive analysis of gene expression in hematopoietic cells to date and has identified genes that play key roles in lineage commitment and cell function. The data, which are freely accessible, will be invaluable for future studies on hematopoiesis and the role of specific genes and will also aid the understanding of the recent genome-wide association studies. [Abstract from original publiction; Blood. 2009 May 7;113(19):e1-9. Epub 2009 Feb 19. Watkins_2009_19228925]	50.0	MK, erythroblast, B lymphocyte, Th, Tc, granulocyte, monocyte, NK	Microarray (Illumina HumanWG-6 V2)	leukomics	Homo sapiens	5.0	Illumina V2	rgb(0,0,0)	circle	CD166b+ Neutrophil:Eosinophil 80:20 Granulocyte  neonatal	in vivo	myeloid	granulocyte	CD66b+	granulocyte		blood	1000<br>Watkins<br>CD166b+ Neutrophil:Eosinophil 80:20 Granulocyte  neonatal<br>CD66b+<br>Microarray (Illumina HumanWG-6 V2)
1674120084_D;1000	1000.0	Watkins	1674120084_D	63169-144	Homo sapiens	monocyte	CL:0000576		monocyte	female		Watkins	Hematopoiesis is a carefully controlled process that is regulated by complex networks of transcription factors that are, in part, controlled by signals resulting from ligand binding to cell-surface receptors. To further understand hematopoiesis, we have compared gene expression profiles of human erythroblasts, megakaryocytes, B cells, cytotoxic and helper T cells, natural killer cells, granulocytes, and monocytes using whole genome microarrays. A bioinformatics analysis of these data was performed focusing on transcription factors, immunoglobulin superfamily members, and lineage-specific transcripts. We observed that the numbers of lineage-specific genes varies by 2 orders of magnitude, ranging from 5 for cytotoxic T cells to 878 for granulocytes. In addition, we have identified novel coexpression patterns for key transcription factors involved in hematopoiesis (eg, GATA3-GFI1 and GATA2-KLF1). This study represents the most comprehensive analysis of gene expression in hematopoietic cells to date and has identified genes that play key roles in lineage commitment and cell function. The data, which are freely accessible, will be invaluable for future studies on hematopoiesis and the role of specific genes and will also aid the understanding of the recent genome-wide association studies. [Abstract from original publiction; Blood. 2009 May 7;113(19):e1-9. Epub 2009 Feb 19. Watkins_2009_19228925]	50.0	MK, erythroblast, B lymphocyte, Th, Tc, granulocyte, monocyte, NK	Microarray (Illumina HumanWG-6 V2)	leukomics	Homo sapiens	5.0	Illumina V2	rgb(0,0,0)	circle	CD14+ Monocyte  neonatal	in vivo	myeloid	monocyte	CD14+	monocyte		blood	1000<br>Watkins<br>CD14+ Monocyte  neonatal<br>CD14+<br>Microarray (Illumina HumanWG-6 V2)
